ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
474	"ENSG00000087088.15"	"BAX"	chr19	+	49458804	49458856	49459454	49459590	49458185	49458219	49464066	49464171	474	15,22	655,835	19,34	29,40	150	197	0.0	0.0	0.029,0.033	0.462,0.527	-0.464
1210	"ENSG00000110075.10"	"PPP6R3"	chr11	+	68315534	68315672	68318588	68318654	68312305	68312492	68321612	68321725	1210	78,109	60,65	25,27	99,98	197	164	4.4408920985e-16	1.46616052632e-12	0.52,0.583	0.174,0.187	0.371
1124	"ENSG00000131473.12"	"ACLY"	chr17	-	40054883	40055038	40057948	40058066	40054001	40054092	40060981	40061043	1124	416,483	124,156	129,136	116,146	197	197	1.07691633389e-14	1.85102766448e-11	0.77,0.756	0.527,0.482	0.259
6482	"ENSG00000068912.9"	"ERLEC1"	chr2	+	54024651	54024729	54026183	54026218	54023069	54023150	54028533	54028757	6482	194,251	288,396	65,58	303,306	176	133	1.12132525487e-14	1.85102766448e-11	0.337,0.324	0.139,0.125	0.199
2351	"ENSG00000153827.9"	"TRIP12"	chr2	-	230638812	230638977	230642030	230642195	230636234	230636348	230643148	230643303	2351	272,298	330,420	125,144	59,64	197	197	2.06079597831e-11	2.72148716896e-08	0.452,0.415	0.679,0.692	-0.252
2505	"ENSG00000051108.10"	"HERPUD1"	chr16	+	56973806	56974157	56976043	56976149	56973148	56973271	56977037	56977793	2505	238,284	394,475	84,93	364,348	197	197	4.57233140239e-10	5.03185070833e-07	0.377,0.374	0.188,0.211	0.176
6551	"ENSG00000250722.1"	"SEPP1"	chr5	-	42804757	42804875	42811937	42812088	42800213	42801433	42825542	42825998	6551	66,16	2364,45	18,17	2077,2285	197	197	1.06199338212e-09	1.00176318602e-06	0.027,0.262	0.009,0.007	0.137
336	"ENSG00000081051.3"	"AFP"	chr4	+	74309063	74309161	74313178	74313393	74308012	74308145	74315051	74315184	336	14019,16279	14664,17572	12860,10613	7389,6173	196	197	1.65757974013e-09	1.29896112751e-06	0.49,0.482	0.636,0.633	-0.149
8467	"ENSG00000161249.16"	"DMKN"	chr19	-	35996619	35996667	36000812	36000863	35993731	35993788	36001085	36001154	8467	6,0	43,70	22,29	29,44	149	146	1.77050585304e-09	1.29896112751e-06	0.12,0.0	0.426,0.392	-0.349
6223	"ENSG00000153037.8"	"SRP19"	chr5	+	112200153	112200225	112200317	112200429	112198058	112198280	112203100	112203421	6223	81,88	147,209	19,20	126,159	170	197	4.56301618712e-09	3.01295958836e-06	0.39,0.328	0.149,0.127	0.221
878	"ENSG00000135387.15"	"CAPRIN1"	chr11	+	34112075	34112225	34113452	34113603	34111725	34111836	34118025	34118220	878	454,572	469,548	170,188	79,79	197	197	2.22990598209e-08	1.33855174543e-05	0.492,0.511	0.683,0.704	-0.192
3384	"ENSG00000080618.9"	"CPB2"	chr13	-	46648007	46648112	46652934	46653036	46641441	46641552	46656575	46656684	3384	47,156	0,32	96,133	73,92	197	197	5.23270039521e-08	2.65780928535e-05	1.0,0.83	0.568,0.591	0.336
6103	"ENSG00000089006.12"	"SNX5"	chr20	-	17933230	17933354	17937576	17937681	17932143	17932239	17949017	17949363	6103	255,322	1782,2089	107,114	389,328	197	197	4.97352943274e-08	2.65780928535e-05	0.125,0.134	0.216,0.258	-0.107
8466	"ENSG00000161249.16"	"DMKN"	chr19	-	35996619	35996667	36000812	36000863	35994205	35994349	36001085	36001154	8466	6,0	71,4	27,24	32,28	149	146	6.49561836541e-08	3.06361200477e-05	0.076,0.0	0.453,0.456	-0.417
1880	"ENSG00000186910.3"	"SERPINA11"	chr14	-	94912667	94912789	94914468	94914681	94909414	94909562	94919065	94919127	1880	22,27	32,56	2,1	48,34	197	197	8.18542154057e-08	3.60322256216e-05	0.407,0.325	0.04,0.029	0.332
1883	"ENSG00000186910.3"	"SERPINA11"	chr14	-	94912667	94912941	94914468	94914681	94909414	94909562	94919065	94919127	1883	22,27	47,54	2,2	54,43	197	197	9.58113416383e-08	3.95401430524e-05	0.319,0.333	0.036,0.044	0.286
4995	"ENSG00000113924.7"	"HGD"	chr3	-	120363098	120363290	120363444	120363466	120360435	120360540	120365113	120365213	4995	2,0	156,237	10,14	98,133	120	197	1.11390370039e-07	4.32653301981e-05	0.021,0.0	0.143,0.147	-0.134
3005	"ENSG00000145192.8"	"AHSG"	chr3	+	186336079	186336280	186337645	186337729	186334975	186335139	186338374	186339107	3005	255,0	10622,92	142,136	14857,11845	197	182	1.66986299455e-07	6.05425539883e-05	0.022,0.0	0.009,0.01	0.001
3851	"ENSG00000143363.11"	"PRUNE"	chr1	+	150990287	150990380	150999708	150999803	150980957	150981147	151006281	151006589	3851	56,56	5,11	8,6	10,11	191	193	1.74209984216e-07	6.05425539883e-05	0.919,0.837	0.447,0.355	0.477
637	"ENSG00000130414.7"	"NDUFA10"	chr2	-	240946732	240946787	240954155	240954277	240944626	240944712	240957969	240958056	637	308,412	314,465	255,229	137,125	197	153	4.89279974758e-07	0.000161535783666	0.432,0.408	0.591,0.587	-0.169
2277	"ENSG00000148737.11"	"TCF7L2"	chr10	+	114724314	114724383	114799783	114799885	114711241	114711366	114900942	114901075	2277	11,13	24,44	6,5	108,113	167	197	7.93026576407e-07	0.000249350213525	0.351,0.258	0.062,0.05	0.248
771	"ENSG00000273173.1"	"SNURF"	chr15	+	25213078	25213229	25220504	25220656	25207260	25207356	25221451	25221563	771	654,707	528,605	191,190	277,299	197	197	2.40769802762e-06	0.000722637730744	0.553,0.539	0.408,0.389	0.148
3551	"ENSG00000167792.7"	"NDUFV1"	chr11	+	67378873	67379040	67379367	67379449	67378465	67378678	67379590	67379736	3551	120,162	187,217	53,53	157,180	197	180	2.65123334942e-06	0.000761134513314	0.37,0.406	0.236,0.212	0.164
4448	"ENSG00000151655.13"	"ITIH2"	chr10	+	7750984	7751154	7755143	7755248	7745362	7745481	7759588	7759751	4448	27,3	614,434	3,2	1198,929	197	197	3.0474545395e-06	0.000779544241277	0.042,0.007	0.002,0.002	0.022
4954	"ENSG00000135632.7"	"SMYD5"	chr2	+	73451074	73451131	73451993	73452088	73450553	73450660	73452758	73452829	4954	131,158	40,62	47,52	42,51	155	193	2.93183598843e-06	0.000779544241277	0.803,0.76	0.582,0.559	0.211
7651	"ENSG00000106615.5"	"RHEB"	chr7	-	151174418	151174501	151181822	151181890	151168634	151168691	151188028	151188100	7651	150,184	306,364	69,64	62,56	166	181	3.06953661566e-06	0.000779544241277	0.348,0.355	0.548,0.555	-0.2
2628	"ENSG00000138823.8"	"MTTP"	chr4	+	100512391	100512508	100512807	100512947	100510799	100510907	100515889	100516040	2628	347,432	419,483	47,47	103,132	197	197	3.57325012823e-06	0.000873858170248	0.453,0.472	0.313,0.263	0.174
2936	"ENSG00000110245.7"	"APOC3"	chr11	+	116701291	116701353	116701488	116701612	116700607	116700656	116703479	116703788	2936	3,3	0,11	2,2	418,437	160	197	5.40435917484e-06	0.00127446370112	1.0,0.251	0.006,0.006	0.619
4604	"ENSG00000100867.10"	"DHRS2"	chr14	+	24108387	24108565	24109002	24109104	24105543	24105981	24112360	24112428	4604	0,26	69,1584	57,37	995,966	197	197	7.97541324937e-06	0.00181591909261	0.0,0.016	0.054,0.037	-0.037
4108	"ENSG00000061656.5"	"SPAG4"	chr20	+	34205441	34205508	34206008	34206052	34205057	34205162	34206371	34206397	4108	11,22	3,4	16,15	26,25	165	142	1.03240695803e-05	0.00227232771462	0.759,0.826	0.346,0.341	0.449
5483	"ENSG00000079459.8"	"FDFT1"	chr8	+	11683532	11683724	11687752	11687929	11679258	11679387	11689026	11689179	5483	562,188	217,66	379,534	270,347	197	197	1.11231756262e-05	0.00235915210141	0.721,0.74	0.584,0.606	0.135
8402	"ENSG00000100911.9"	"PSME2"	chr14	-	24614587	24614674	24614918	24615105	24614451	24614482	24615416	24615449	8402	44,38	1234,1441	13,15	145,159	197	185	1.14331163479e-05	0.00235915210141	0.032,0.024	0.078,0.081	-0.052
7241	"ENSG00000149150.4"	"SLC43A1"	chr11	-	57258696	57258835	57259188	57259335	57256723	57256865	57261465	57261644	7241	61,77	31,37	21,19	33,31	197	197	1.23100555647e-05	0.0024631302089	0.663,0.675	0.389,0.38	0.285
1160	"ENSG00000135926.8"	"TMBIM1"	chr2	-	219143237	219143288	219143760	219143814	219142657	219142697	219144011	219144076	1160	198,250	573,681	99,99	505,500	152	149	1.87248898191e-05	0.00363648374928	0.253,0.265	0.161,0.163	0.097
6029	"ENSG00000115414.14"	"FN1"	chr2	-	216246934	216247048	216248050	216248206	216245533	216245803	216248742	216248907	6029	5241,6616	1804,2328	3165,3546	1682,1946	197	197	2.32454900658e-05	0.00432158784536	0.744,0.74	0.653,0.646	0.093
8226	"ENSG00000078668.9"	"VDAC3"	chr8	+	42252601	42252651	42256229	42256382	42251727	42251796	42257168	42257221	8226	462,529	527,693	67,78	161,170	148	197	2.35615875258e-05	0.00432158784536	0.539,0.504	0.356,0.379	0.154
3277	"ENSG00000172831.7"	"CES2"	chr16	+	66975670	66975751	66976007	66976152	66975408	66975549	66976550	66976640	3277	202,269	229,233	43,38	90,82	179	197	2.44948879762e-05	0.00437134446775	0.493,0.56	0.345,0.338	0.185
714	"ENSG00000150403.13"	"TMCO3"	chr13	+	114157810	114157903	114174930	114175048	114156066	114156195	114188359	114188667	714	119,160	51,37	88,79	65,68	191	197	3.25058287775e-05	0.00564831545836	0.706,0.817	0.583,0.545	0.197
4958	"ENSG00000181163.9"	"NPM1"	chr5	+	170827156	170827199	170832305	170832407	170819917	170819982	170833400	170834129	4958	1213,1545	1154,1534	80,57	36,26	141	197	4.00734106065e-05	0.00678473667269	0.595,0.585	0.756,0.754	-0.165
1376	"ENSG00000126777.13"	"KTN1"	chr14	+	56128239	56128330	56133958	56134048	56126383	56126421	56137446	56137527	1376	65,84	209,302	39,42	64,59	189	188	4.28735115792e-05	0.00690472675506	0.236,0.217	0.377,0.415	-0.17
1591	"ENSG00000015479.13"	"MATR3"	chr5	+	138629141	138629281	138643847	138644016	138614739	138614818	138650363	138650425	1591	1,3	426,431	3,3	46,48	197	197	4.19510526422e-05	0.00690472675506	0.002,0.007	0.061,0.059	-0.055
2504	"ENSG00000132677.8"	"RHBG"	chr1	+	156348042	156348204	156351858	156351992	156339002	156339227	156352538	156352660	2504	12,9	8,14	1,1	21,22	197	197	4.86460932984e-05	0.00734604567821	0.6,0.391	0.045,0.043	0.452
3008	"ENSG00000145192.8"	"AHSG"	chr3	+	186336300	186336426	186337645	186337729	186334975	186335139	186338374	186339107	3008	620,48	11525,3693	297,223	14258,10548	197	182	4.89513872242e-05	0.00734604567821	0.047,0.012	0.019,0.019	0.01
6137	"ENSG00000096746.13"	"HNRNPH3"	chr10	+	70096955	70097090	70098259	70098399	70091832	70091992	70098896	70098983	6137	131,143	160,185	42,48	20,26	197	197	4.81001593302e-05	0.00734604567821	0.45,0.436	0.677,0.649	-0.22
4976	"ENSG00000255526.2"	"NEDD8-MDP1"	chr14	-	24684942	24685003	24686391	24686429	24684757	24684868	24687338	24687421	4976	717,1140	20,15	622,527	30,27	136	159	6.09769652432e-05	0.00894735336669	0.977,0.989	0.96,0.958	0.024
1587	"ENSG00000185721.7"	"DRG1"	chr22	+	31799014	31799190	31806997	31807067	31796605	31796729	31816241	31816411	1587	251,254	92,109	25,30	27,28	197	168	6.85024813667e-05	0.00983308444488	0.699,0.665	0.441,0.477	0.223
6010	"ENSG00000177189.8"	"RPS6KA3"	chrX	-	20227405	20227522	20252875	20252932	20222139	20222221	20284681	20284958	6010	12,86	49,199	116,146	134,162	155	197	7.27795362079e-05	0.0102247505868	0.237,0.355	0.524,0.534	-0.233
1159	"ENSG00000135926.8"	"TMBIM1"	chr2	-	219143760	219143814	219144011	219144076	219143237	219143288	219144748	219144849	1159	115,180	141,207	67,65	149,152	163	152	7.53089694338e-05	0.0103596901077	0.432,0.448	0.295,0.285	0.15
3942	"ENSG00000204564.7"	"C6orf136"	chr6	+	30617334	30617736	30619042	30619243	30615197	30615623	30620424	30620494	3942	5,2	58,99	8,10	31,34	197	197	8.27101167752e-05	0.0108024698783	0.079,0.02	0.205,0.227	-0.166
5588	"ENSG00000179889.14"	"PDXDC1"	chr16	+	15100250	15100440	15102635	15102704	15098043	15098190	15103537	15103616	5588	284,357	163,199	36,39	43,49	197	167	8.50716997836e-05	0.0108024698783	0.596,0.603	0.415,0.403	0.19
55	"ENSG00000168385.13"	"SEPT2"	chr2	+	242263630	242263656	242265407	242265528	242254684	242255025	242274540	242274627	55	105,232	967,1460	173,163	836,654	124	197	8.243597255e-05	0.0108024698783	0.147,0.202	0.247,0.284	-0.091
6023	"ENSG00000115414.14"	"FN1"	chr2	-	216232585	216232750	216236631	216236738	216230227	216230353	216238044	216238134	6023	52,237	4573,0	66,83	6027,7770	197	197	8.35969161721e-05	0.0108024698783	0.011,1.0	0.011,0.011	0.494
2877	"ENSG00000102595.14"	"UGGT2"	chr13	-	96636057	96636118	96637492	96637591	96624833	96624925	96638586	96638686	2877	28,41	31,54	1,1	17,14	197	159	9.06886813455e-05	0.0112984408099	0.422,0.38	0.045,0.055	0.351
7603	"ENSG00000101076.12"	"HNF4A"	chr20	+	43048360	43048516	43052657	43052894	43047064	43047152	43056974	43057127	7603	134,202	157,208	29,29	68,70	197	197	0.000105424192576	0.0126566535196	0.46,0.493	0.299,0.293	0.181
7942	"ENSG00000072274.8"	"TFRC"	chr3	-	195802029	195802231	195803934	195803993	195800800	195800996	195808913	195808961	7942	7,57	308,613	17,13	592,627	157	197	0.000104164513323	0.0126566535196	0.028,0.104	0.035,0.025	0.036
1588	"ENSG00000015479.13"	"MATR3"	chr5	+	138629141	138629264	138643847	138644016	138614739	138614818	138650363	138650425	1588	1,4	426,431	6,5	124,126	197	197	0.000127214470588	0.0149999490945	0.002,0.009	0.046,0.038	-0.036
2514	"ENSG00000060237.12"	"WNK1"	chr12	+	977031	978270	980430	980514	971248	971436	987377	987527	2514	0,0	33,176	7,6	80,70	197	182	0.000132626183666	0.0150988050129	0.0,0.0	0.075,0.073	-0.074
4747	"ENSG00000112245.6"	"PTP4A1"	chr6	+	64242241	64242435	64260233	64260398	64237723	64237989	64286340	64286487	4747	39,43	272,316	18,18	47,53	197	197	0.000130615903834	0.0150988050129	0.125,0.12	0.277,0.254	-0.143
1592	"ENSG00000015479.13"	"MATR3"	chr5	+	138629141	138629281	138642927	138644016	138614739	138614818	138650363	138650425	1592	1,3	430,445	5,4	106,101	197	197	0.000135684168649	0.0151851282303	0.002,0.007	0.045,0.038	-0.037
1093	"ENSG00000007168.8"	"PAFAH1B1"	chr17	+	2577353	2577582	2579798	2579900	2575948	2576051	2583457	2583614	1093	125,200	107,177	20,18	42,39	197	197	0.00014318082305	0.0157570495767	0.539,0.531	0.323,0.316	0.216
1882	"ENSG00000186910.3"	"SERPINA11"	chr14	-	94912667	94912941	94914468	94915114	94909414	94909562	94919065	94919127	1882	176,52	102,58	792,642	244,223	197	197	0.000162610284116	0.01760189682	0.633,0.473	0.764,0.742	-0.2
4551	"ENSG00000171759.4"	"PAH"	chr12	-	103238113	103238209	103245464	103245534	103234177	103234293	103246592	103246728	4551	19,194	13,73	133,117	22,16	168	194	0.000180284573919	0.0189793874313	0.628,0.754	0.875,0.894	-0.194
5936	"ENSG00000180210.10"	"F2"	chr11	+	46750372	46750387	46750929	46751111	46750213	46750270	46760597	46760668	5936	14,13	328,473	2,1	345,347	113	197	0.000181084568858	0.0189793874313	0.069,0.046	0.01,0.005	0.05
6192	"ENSG00000198089.10"	"SFI1"	chr22	+	31998197	31998279	31999729	31999805	31985432	31985563	32000294	32000390	6192	59,67	1,3	20,19	6,5	180	174	0.000202067544501	0.0208476874428	0.983,0.956	0.763,0.786	0.195
5220	"ENSG00000099381.12"	"SETD1A"	chr16	+	30972587	30972858	30974753	30974875	30970411	30970507	30975414	30975644	5220	53,53	21,22	12,11	16,17	197	197	0.00021623668654	0.0219663206342	0.716,0.707	0.429,0.393	0.3
1986	"ENSG00000115694.10"	"STK25"	chr2	-	242440154	242440211	242440892	242441123	242439587	242439696	242447919	242448010	1986	18,18	263,362	1,1	185,157	197	155	0.000227154004218	0.0227257256038	0.051,0.038	0.004,0.005	0.04
4582	"ENSG00000026297.11"	"RNASET2"	chr6	-	167360169	167360227	167365975	167366036	167356506	167356577	167369584	167369679	4582	2,9	47,48	84,108	224,227	159	156	0.000236925881523	0.0233495760552	0.04,0.155	0.269,0.318	-0.196
2816	"ENSG00000173209.18"	"AHSA2"	chr2	+	61412973	61413000	61413114	61413216	61412636	61412753	61413580	61413632	2816	5,2	2,0	2,2	23,18	125	197	0.000267178525254	0.0259438206214	0.798,1.0	0.121,0.149	0.764
764	"ENSG00000125863.13"	"MKKS"	chr20	-	10393177	10393222	10394443	10394579	10389275	10389451	10401175	10401406	764	299,298	22,31	72,67	15,17	197	143	0.000281685329739	0.0269560613372	0.908,0.875	0.777,0.741	0.132
2416	"ENSG00000173473.6"	"SMARCC1"	chr3	-	47680214	47680270	47702783	47702945	47677511	47677626	47703823	47704082	2416	57,84	143,192	29,23	132,131	197	154	0.000308744569668	0.0291234341931	0.238,0.255	0.147,0.121	0.112
1548	"ENSG00000171858.13"	"RPS21"	chr20	+	60962898	60962970	60963364	60963420	60962666	60962730	60963512	60963575	1548	47,2644	2,38	923,1160	33,40	170	154	0.000331028791125	0.0307856775746	0.955,0.984	0.962,0.963	0.007
4754	"ENSG00000112245.6"	"PTP4A1"	chr6	+	64242252	64242435	64260204	64260398	64237723	64237989	64286340	64286487	4754	10,15	354,410	6,4	37,38	197	197	0.000354536605021	0.0325139611521	0.027,0.035	0.14,0.095	-0.087
723	"ENSG00000153044.5"	"CENPH"	chr5	+	68498745	68498797	68504022	68504186	68498332	68498396	68505533	68505756	723	1,0	11,20	15,21	24,33	150	197	0.000370374644975	0.0335011476818	0.107,0.0	0.451,0.455	-0.4
7723	"ENSG00000100028.7"	"SNRPD3"	chr22	+	24953624	24953768	24963951	24964144	24951470	24952039	24967883	24968740	7723	529,1984	116,415	680,685	220,235	197	197	0.000393822801052	0.0351407020993	0.82,0.827	0.756,0.745	0.073
8365	"ENSG00000138592.9"	"USP8"	chr15	+	50773677	50774262	50776471	50776558	50769472	50769696	50781997	50782078	8365	103,154	17,10	46,47	15,15	197	185	0.000400962014541	0.0353006957602	0.851,0.935	0.742,0.746	0.149
4752	"ENSG00000112245.6"	"PTP4A1"	chr6	+	64242241	64242450	64260209	64260398	64237723	64237989	64286340	64286487	4752	29,30	273,313	8,8	24,27	197	197	0.000495230209546	0.0430263825478	0.096,0.087	0.25,0.229	-0.148
5313	"ENSG00000173418.7"	"NAA20"	chr20	+	20007427	20007563	20013151	20013297	19997759	19998093	20013745	20014273	5313	3,8	94,26	3,3	165,234	197	197	0.000513793531651	0.0440594634999	0.031,0.235	0.018,0.013	0.118
8384	"ENSG00000122085.12"	"MTERFD2"	chr2	-	242029394	242029459	242036657	242036842	242026508	242028780	242038810	242039309	8384	21,21	37,51	10,9	5,3	197	163	0.000603993579925	0.0511303795929	0.32,0.254	0.623,0.713	-0.381
5480	"ENSG00000079459.8"	"FDFT1"	chr8	+	11683587	11683724	11687752	11687929	11679258	11679387	11689026	11689179	5480	13,15	217,66	10,11	270,347	197	197	0.000621077972125	0.0519111120246	0.057,0.185	0.036,0.031	0.087
1881	"ENSG00000186910.3"	"SERPINA11"	chr14	-	94912667	94912941	94914468	94914597	94909414	94909562	94919065	94919127	1881	10,22	102,58	16,13	244,223	197	197	0.000682311386121	0.056316276032	0.089,0.275	0.062,0.055	0.123
4181	"ENSG00000160221.12"	"C21orf33"	chr21	+	45557058	45557178	45560131	45560224	45555941	45556055	45563086	45563243	4181	88,83	26,15	38,44	23,26	197	191	0.000868026375575	0.0707602241719	0.766,0.843	0.616,0.621	0.186
6549	"ENSG00000250722.1"	"SEPP1"	chr5	-	42808252	42808468	42811937	42812088	42800920	42801433	42825542	42825998	6549	72,21	5,1	23,18	7,8	197	197	0.000879158766026	0.0707937235618	0.935,0.955	0.767,0.692	0.216
7911	"ENSG00000197249.8"	"SERPINA1"	chr14	-	94847207	94847478	94848928	94849578	94845800	94845948	94854896	94855000	7911	12809,6752	23640,0	9240,12491	15055,17745	197	197	0.000942594460698	0.0749873641444	0.351,1.0	0.38,0.413	0.279
4990	"ENSG00000113924.7"	"HGD"	chr3	-	120363165	120363290	120363444	120363466	120360435	120360540	120365113	120365213	4990	12,9	490,728	20,15	417,343	120	197	0.000954658548505	0.0750429809021	0.039,0.02	0.073,0.067	-0.041
1648	"ENSG00000068366.15"	"ACSL4"	chrX	-	108926364	108926601	108939372	108939425	108925947	108926125	108976367	108976632	1648	127,11	550,46	56,50	416,411	151	197	0.000995100110583	0.0755246670136	0.232,0.238	0.149,0.137	0.092
4715	"ENSG00000139687.9"	"RB1"	chr13	+	49037866	49037971	49039133	49039247	49033823	49033969	49039340	49039504	4715	83,130	80,84	9,10	18,25	197	197	0.000982246648261	0.0755246670136	0.509,0.607	0.333,0.286	0.249
4919	"ENSG00000160752.10"	"FDPS"	chr1	+	155279833	155279996	155282045	155282186	155278706	155278867	155287731	155287812	4919	7,4	3,14	9,19	121,253	197	197	0.000993475367064	0.0755246670136	0.7,0.222	0.069,0.07	0.391
3961	"ENSG00000155380.7"	"SLC16A1"	chr1	-	113459799	113460666	113464611	113464755	113456646	113456787	113471713	113471974	3961	99,106	174,220	52,45	180,152	197	197	0.00102718383376	0.0770738051627	0.363,0.325	0.224,0.228	0.118
1273	"ENSG00000141698.12"	"NT5C3B"	chr17	-	39985041	39985115	39987052	39987142	39983677	39983878	39988643	39988729	1273	203,236	199,295	68,65	42,39	188	172	0.00109727455843	0.0784992488153	0.483,0.423	0.597,0.604	-0.148
5327	"ENSG00000156482.6"	"RPL30"	chr8	-	99054872	99055003	99057170	99057316	99053948	99054078	99057574	99057627	5327	4716,5272	1506,1862	1522,1472	714,713	197	197	0.00107510606689	0.0784992488153	0.758,0.739	0.681,0.674	0.071
657	"ENSG00000122218.10"	"COPA"	chr1	-	160302237	160302347	160303392	160303469	160295332	160295442	160305031	160305112	657	178,268	270,336	46,46	110,111	175	197	0.00110562322275	0.0784992488153	0.426,0.473	0.32,0.318	0.131
8092	"ENSG00000169032.5"	"MAP2K1"	chr15	+	66729083	66729230	66735617	66735695	66727364	66727575	66736993	66737304	8092	66,35	27,0	40,48	37,42	197	176	0.00106768484301	0.0784992488153	0.686,1.0	0.491,0.505	0.345
815	"ENSG00000134153.5"	"EMC7"	chr15	-	34380253	34380334	34388095	34388215	34376217	34376687	34393804	34394149	815	221,214	288,362	29,28	74,87	197	179	0.0010900487544	0.0784992488153	0.411,0.349	0.263,0.226	0.136
2499	"ENSG00000132677.8"	"RHBG"	chr1	+	156348042	156348190	156351858	156351992	156339002	156339227	156352538	156352660	2499	5,12	21,28	2,1	39,31	197	197	0.0011795686945	0.0828584264871	0.192,0.3	0.049,0.031	0.206
5086	"ENSG00000183077.11"	"AFMID"	chr17	+	76200908	76200981	76202026	76202131	76187050	76187141	76202991	76203782	5086	7,10	221,96	0,0	96,133	171	197	0.00120915784045	0.0840428338999	0.035,0.107	0.0,0.0	0.071
2267	"ENSG00000115084.8"	"SLC35F5"	chr2	-	114472734	114472772	114475329	114475427	114471929	114472618	114476730	114476885	2267	203,235	27,39	64,73	2,2	196	136	0.00122378440445	0.0841734210686	0.839,0.807	0.957,0.962	-0.137
