ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
11000	"ENSG00000109046.10"	"WSB1"	chr17	+	25634769	25636298	25636125	25636298	25633807	25633908	11000	37,40	58,72	117,92	61,59	197	99	2.96432989821e-07	0.00189657826887	0.243,0.218	0.491,0.439	-0.234
20802	"ENSG00000100911.9"	"PSME2"	chr14	-	24614918	24615130	24614918	24614981	24615416	24615449	20802	79,136	1501,1654	22,25	122,122	197	99	2.40844141519e-07	0.00189657826887	0.026,0.04	0.083,0.093	-0.055
14719	"ENSG00000115414.14"	"FN1"	chr2	-	216236631	216237098	216236631	216236738	216238044	216238134	14719	24933,16229	134,306	23896,18466	142,104	197	99	2.2945314424e-06	0.00810005801539	0.989,0.964	0.988,0.989	-0.012
8255	"ENSG00000136153.15"	"LMO7"	chr13	+	76409287	76409475	76409368	76409475	76408361	76408523	8255	14,30	32,68	40,29	22,19	179	99	2.53205939837e-06	0.00810005801539	0.195,0.196	0.501,0.458	-0.284
13511	"ENSG00000167996.11"	"FTH1"	chr11	-	61732458	61732584	61732458	61732577	61732840	61732951	13511	11753,24266	544,608	12913,10417	712,592	105	99	4.1582935818e-06	0.00886825411212	0.953,0.974	0.945,0.943	0.02
63	"ENSG00000185269.7"	"NOTUM"	chr17	-	79916810	79916993	79916810	79916871	79917346	79917442	63	129,17	488,30	47,27	370,282	197	99	3.57576222354e-06	0.00886825411212	0.117,0.222	0.06,0.046	0.117
977	"ENSG00000213983.7"	"AP1G2"	chr14	-	24033254	24033430	24033254	24033368	24033541	24033597	977	216,105	105,43	111,81	115,78	160	99	7.97438584443e-06	0.0145771773236	0.56,0.602	0.374,0.391	0.198
18487	"ENSG00000104760.12"	"FGL1"	chr8	-	17752955	17753140	17752955	17753026	17753678	17753925	18487	1,0	43,25	12,9	28,21	197	99	1.3785737918e-05	0.0220502877998	0.012,0.0	0.177,0.177	-0.171
2801	"ENSG00000166582.5"	"CENPV"	chr17	-	16251929	16252647	16251929	16251999	16253244	16253343	2801	94,58	72,101	113,104	43,36	197	99	2.02549173993e-05	0.028797991449	0.396,0.224	0.569,0.592	-0.271
14862	"ENSG00000269871.1"	"AC040977.1"	chr17	-	6915927	6916080	6915927	6916076	6916984	6917062	14862	331,566	71,162	656,447	87,67	102	99	9.21432962047e-05	0.107187783476	0.819,0.772	0.88,0.866	-0.078
946	"ENSG00000124155.12"	"PIGT"	chr20	+	44049147	44049333	44049167	44049333	44048971	44049069	946	28,27	421,326	15,7	504,361	118	99	8.88430568606e-05	0.107187783476	0.053,0.065	0.024,0.016	0.039
20805	"ENSG00000100911.9"	"PSME2"	chr14	-	24614918	24615105	24614918	24614981	24615416	24615449	20805	229,114	694,1487	193,135	622,457	197	99	0.000149024993218	0.158910317768	0.142,0.037	0.135,0.129	-0.043
6646	"ENSG00000100813.10"	"ACIN1"	chr14	-	23535174	23535310	23535174	23535217	23538684	23538826	6646	54,85	136,131	31,32	25,24	191	99	0.000163154271292	0.160594004266	0.171,0.252	0.391,0.409	-0.189
14860	"ENSG00000269871.1"	"AC040977.1"	chr17	-	6915927	6916096	6915927	6916076	6916984	6917062	14860	323,571	71,162	638,431	87,67	118	99	0.000190966728084	0.174543589469	0.792,0.747	0.86,0.844	-0.082
20925	"ENSG00000089157.11"	"RPLP0"	chr12	-	120636749	120636850	120636749	120636796	120636920	120637008	20925	1206,1638	235,383	200,132	5,20	152	99	0.000241999614114	0.206441804147	0.77,0.736	0.963,0.811	-0.134
6721	"ENSG00000265500.1"	"SENP3-EIF4A1"	chr17	+	7480886	7481024	7480940	7481024	7480661	7480805	6721	2009,2821	0,60	1830,1714	2,2	152	99	0.000389529146569	0.311525934969	1.0,0.968	0.998,0.998	-0.014
18916	"ENSG00000113048.12"	"MRPS27"	chr5	-	71519629	71519743	71519629	71519677	71521883	71522026	18916	13,18	105,112	5,5	146,119	164	99	0.000469625481983	0.353489862791	0.07,0.088	0.02,0.025	0.057
8656	"ENSG00000139197.6"	"PEX5"	chr12	+	7356027	7356147	7356051	7356147	7355207	7355300	8656	46,54	14,25	65,49	7,5	122	99	0.00053950838304	0.383530514966	0.727,0.637	0.883,0.888	-0.204
356	"ENSG00000172046.14"	"USP19"	chr3	-	49155089	49155296	49155089	49155218	49155379	49155412	356	13,42	1,1	5,9	3,5	176	99	0.000770168073148	0.518687929684	0.88,0.959	0.484,0.503	0.426
3133	"ENSG00000176261.11"	"ZBTB8OS"	chr1	-	33099551	33099711	33099551	33099673	33100368	33100393	3133	99,84	58,136	45,37	138,107	136	99	0.000816911836187	0.522660192792	0.554,0.31	0.192,0.201	0.236
16474	"ENSG00000141505.7"	"ASGR1"	chr17	-	7076977	7077168	7076977	7077152	7077279	7077374	16474	16,3	428,89	7,3	617,398	114	99	0.000974673218916	0.593900881393	0.031,0.028	0.01,0.007	0.021
1010	"ENSG00000196208.9"	"GREB1"	chr2	+	11770073	11770235	11770122	11770235	11767087	11767230	1010	160,87	26,24	184,147	16,11	147	99	0.00116026724022	0.645512156776	0.806,0.709	0.886,0.9	-0.135
4718	"ENSG00000159335.11"	"PTMS"	chr12	+	6879009	6879165	6879086	6879165	6878768	6878840	4718	28,25	4,568	14,11	682,490	175	99	0.00113427626025	0.645512156776	0.798,0.024	0.011,0.013	0.399
16101	"ENSG00000156976.10"	"EIF4A2"	chr3	+	186505267	186505373	186505283	186505373	186504915	186505053	16101	14,25	679,364	9,7	600,537	114	99	0.00155818270046	0.76960354293	0.018,0.056	0.013,0.011	0.025
17822	"ENSG00000149150.4"	"SLC43A1"	chr11	-	57263503	57263745	57263503	57263637	57265225	57265318	17822	20,4	25,0	6,5	85,64	197	99	0.00156374586716	0.76960354293	0.287,1.0	0.034,0.038	0.607
20338	"ENSG00000161944.12"	"ASGR2"	chr17	-	7017435	7017717	7017435	7017629	7017933	7018161	20338	208,0	122,154	247,360	172,260	186	99	0.00146812406595	0.76960354293	0.476,0.0	0.433,0.424	-0.191
11152	"ENSG00000186301.7"	"MST1P2"	chr1	+	16975859	16976020	16975873	16976020	16975672	16975746	11152	3,16	84,85	4,3	163,114	112	99	0.00165420170285	0.783969073691	0.031,0.143	0.021,0.023	0.065
11368	"ENSG00000100867.10"	"DHRS2"	chr14	+	24110874	24112428	24112360	24112428	24109002	24109104	11368	241,195	691,1610	532,318	1508,1119	197	99	0.00192987510398	0.881952922519	0.149,0.057	0.151,0.125	-0.035
10002	"ENSG00000067221.9"	"STOML1"	chr15	-	74276999	74277212	74276999	74277209	74277658	74277854	10002	2,4	0,2	2,2	1,0	101	99	0.912246896368	1.0	1.0,0.662	0.662,1.0	0.0
10003	"ENSG00000138380.13"	"CARF"	chr2	+	203807462	203807690	203807485	203807690	203806582	203806703	10003	1,3	0,2	4,3	1,0	121	99	0.551863443677	1.0	1.0,0.551	0.766,1.0	-0.107
