ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
19	"ENSG00000185269.7"	"NOTUM"	chr17	-	79916810	79917442	79916810	79916871	79917346	79917442	19	182,26	534,61	63,31	420,290	197	99	1.05334766465e-08	5.13506986517e-05	0.146,0.176	0.07,0.051	0.1
477	"ENSG00000143947.8"	"RPS27A"	chr2	+	55459823	55460039	55459823	55459844	55459943	55460039	477	420,547	1487,2957	102,183	918,1530	197	99	6.80580214407e-08	0.000138852880943	0.124,0.085	0.053,0.057	0.05
7563	"ENSG00000151923.13"	"TIAL1"	chr10	-	121336122	121336715	121336122	121336262	121336591	121336715	7563	61,39	192,110	106,88	117,103	197	99	8.54479267343e-08	0.000138852880943	0.138,0.151	0.313,0.3	-0.162
1614	"ENSG00000155463.8"	"OXA1L"	chr14	+	23239401	23239834	23239401	23239487	23239669	23239834	1614	405,365	524,404	299,184	555,491	197	99	1.16166989883e-06	0.000809020108114	0.28,0.312	0.213,0.158	0.111
2445	"ENSG00000174444.10"	"RPL4"	chr15	-	66794949	66795502	66794949	66795088	66795395	66795502	2445	142,52	2411,2600	43,39	2980,2629	197	99	6.64621433333e-07	0.000809020108114	0.029,0.01	0.007,0.007	0.013
2915	"ENSG00000143499.9"	"SMYD2"	chr1	+	214504292	214507651	214504292	214504413	214505360	214507651	2915	43,46	92,74	31,29	170,152	197	99	9.48969988701e-07	0.000809020108114	0.19,0.238	0.084,0.087	0.129
5778	"ENSG00000131051.16"	"RBM39"	chr20	-	34326889	34328809	34326889	34326939	34328745	34328809	5778	172,108	246,92	212,167	94,76	197	99	1.09016082062e-06	0.000809020108114	0.26,0.371	0.531,0.525	-0.213
4328	"ENSG00000160867.10"	"FGFR4"	chr5	+	176517651	176517826	176517651	176517654	176517745	176517826	4328	86,22	306,858	26,15	715,547	189	99	1.93612063948e-06	0.00117982351468	0.128,0.013	0.019,0.014	0.054
2553	"ENSG00000122566.16"	"HNRNPA2B1"	chr7	-	26231920	26232148	26231920	26231958	26232114	26232148	2553	192,269	1422,1630	43,40	579,583	197	99	3.30515691838e-06	0.00179029333079	0.064,0.077	0.036,0.033	0.036
357	"ENSG00000213983.7"	"AP1G2"	chr14	-	24031712	24032847	24031712	24031802	24032588	24032847	357	137,59	74,19	74,47	91,69	197	99	7.15239851357e-06	0.00348679427537	0.482,0.609	0.29,0.255	0.273
4943	"ENSG00000167996.11"	"FTH1"	chr11	-	61732458	61732987	61732458	61732577	61732840	61732987	4943	10678,21058	544,608	11799,9441	712,592	197	99	1.18037000357e-05	0.00523118524309	0.908,0.946	0.893,0.889	0.036
4079	"ENSG00000092199.13"	"HNRNPC"	chr14	-	21677294	21679725	21677294	21679465	21679564	21679725	4079	18,69	469,842	13,10	577,492	197	99	1.5715495706e-05	0.00638442013056	0.019,0.04	0.011,0.01	0.019
2914	"ENSG00000143499.9"	"SMYD2"	chr1	+	214505360	214507651	214505360	214505535	214507542	214507651	2914	37,27	59,51	26,22	121,109	197	99	2.67316330662e-05	0.00930833651412	0.24,0.21	0.097,0.092	0.13
4186	"ENSG00000100867.10"	"DHRS2"	chr14	+	24109002	24112428	24109002	24109104	24110874	24112428	4186	291,325	241,195	399,265	531,318	197	99	2.56814759003e-05	0.00930833651412	0.378,0.456	0.274,0.295	0.133
7015	"ENSG00000215021.4"	"PHB2"	chr12	-	7076838	7077184	7076838	7076942	7077054	7077184	7015	106,62	228,636	51,33	527,467	197	99	3.44545276308e-05	0.01119772148	0.189,0.047	0.046,0.034	0.078
4468	"ENSG00000112096.12"	"SOD2"	chr6	-	160100095	160103670	160100095	160100330	160103505	160103670	4468	828,321	121,27	389,388	96,92	197	99	5.54417445721e-05	0.0168924065493	0.775,0.857	0.671,0.679	0.141
1679	"ENSG00000088970.11"	"PLK1S1"	chr20	+	21224882	21227260	21224882	21224926	21227116	21227260	1679	34,7	53,39	43,32	27,22	197	99	7.3743035284e-05	0.0211468998241	0.244,0.083	0.445,0.422	-0.27
899	"ENSG00000012171.13"	"SEMA3B"	chr3	+	50312442	50312890	50312442	50312484	50312732	50312890	899	53,29	25,19	24,15	44,25	197	99	7.85051191835e-05	0.0212618031122	0.516,0.434	0.215,0.232	0.251
1338	"ENSG00000243649.4"	"CFB"	chr6	+	31918062	31918549	31918062	31918180	31918395	31918549	1338	183,24	639,437	82,50	969,685	197	99	0.000128555245902	0.0329845696722	0.126,0.027	0.041,0.035	0.038
6603	"ENSG00000173821.15"	"RNF213"	chr17	+	78355346	78356870	78355346	78355527	78356778	78356870	6603	9,4	66,73	16,11	43,27	197	99	0.000156235114509	0.0380823091616	0.064,0.027	0.158,0.17	-0.119
2951	"ENSG00000147403.12"	"RPL10"	chrX	+	153627678	153627935	153627678	153627737	153627827	153627935	2951	288,83	2070,2484	95,76	1942,1787	188	99	0.00019710066563	0.0449355940889	0.068,0.017	0.025,0.022	0.019
5898	"ENSG00000142208.11"	"AKT1"	chr14	-	105237081	105238789	105237081	105237184	105238701	105238789	5898	63,29	247,122	31,16	244,180	197	99	0.00020278627076	0.0449355940889	0.114,0.107	0.06,0.043	0.059
3926	"ENSG00000149809.10"	"TM7SF2"	chr11	+	64882184	64882553	64882184	64882304	64882384	64882553	3926	25,10	112,99	6,4	147,94	178	99	0.000227862415963	0.0482969251226	0.11,0.053	0.022,0.023	0.059
6899	"ENSG00000183258.7"	"DDX41"	chr5	-	176943288	176943836	176943288	176943448	176943725	176943836	6899	3,5	102,39	18,11	68,41	197	99	0.0002555150373	0.0519014919516	0.015,0.061	0.117,0.119	-0.08
4569	"ENSG00000166986.8"	"MARS"	chr12	+	57910027	57910438	57910027	57910120	57910217	57910438	4569	74,14	223,103	19,9	163,115	195	99	0.000360214008106	0.0702417315807	0.144,0.065	0.056,0.038	0.057
6657	"ENSG00000117410.9"	"ATP6V0B"	chr1	+	44442697	44443967	44442697	44442888	44443652	44443967	6657	24,2	181,234	26,14	135,100	197	99	0.000413649444686	0.0775592708786	0.062,0.004	0.088,0.066	-0.044
6472	"ENSG00000075415.8"	"SLC25A3"	chr12	+	98987402	98987913	98987402	98987518	98987752	98987913	6472	55,21	329,143	19,11	272,176	197	99	0.000442446769081	0.0798862221952	0.078,0.069	0.034,0.03	0.042
328	"ENSG00000198258.6"	"UBL5"	chr19	+	9939002	9939351	9939002	9939069	9939267	9939351	328	57,52	236,297	26,17	241,198	197	99	0.000648163481495	0.112849891867	0.108,0.081	0.051,0.041	0.049
2264	"ENSG00000127054.14"	"CPSF3L"	chr1	-	1255835	1256473	1255835	1255909	1256375	1256473	2264	41,17	65,104	15,7	118,87	197	99	0.000699212187738	0.117539979835	0.241,0.076	0.06,0.039	0.109
2544	"ENSG00000173209.18"	"AHSA2"	chr2	+	61412636	61413632	61412636	61412753	61413580	61413632	2544	115,100	88,45	182,167	58,35	197	99	0.000777896637728	0.126408203631	0.396,0.528	0.612,0.706	-0.197
